name,version,status,update
akismet,5.5,inactive,none
all-in-one-wp-migration,7.100,inactive,none
code-snippets,3.7.0,active,none
ajax-search-for-woocommerce,1.31.0,active,none
hello,1.7.2,inactive,none
kadence-blocks,3.5.24,active,none
limit-login-attempts-reloaded,2.26.23,active,none
newsletter,8.9.9,active,none
query-monitor,3.20.0,inactive,none
redirection,5.5.2,active,none
wp-smushit,3.22.1,active,none
tawkto-live-chat,0.9.2,active,none
updraftplus,1.25.8,active,none
woocommerce,10.2.2,active,none
woocommerce-square,5.1.0,active,none
wordfence,8.1.0,active,none
wp-google-maps,9.0.48,active,none
wp-super-cache,3.0.2,active,none
wordpress-seo,26.1.1,active,none
increase-limits,1.0,must-use,
advanced-cache.php,,dropin,
db.php,,dropin,
